time,tmax
2022-06-30,16.0
2022-07-01,20.2
2022-07-02,22.3
2022-07-03,20.3
2022-07-04,20.7
2022-07-05,19.5
2022-07-06,20.5
2022-07-07,18.3
2022-07-08,22.5
2022-07-09,19.6
2022-07-10,23.1
2022-07-11,24.5
2022-07-12,29.4
2022-07-13,24.1
2022-07-14,21.5
2022-07-15,21.1
2022-07-16,23.5
2022-07-17,27.5
2022-07-18,34.5
2022-07-19,38.6
2022-07-20,24.6
2022-07-21,20.0
2022-07-22,20.7
2022-07-23,23.1
2022-07-24,28.9
2022-07-25,22.4
2022-07-26,19.5
2022-07-27,20.2
2022-07-28,21.9
2022-07-29,22.2
2022-07-30,24.7
2022-07-31,23.6
2022-08-01,23.0
2022-08-02,26.3
2022-08-03,26.3
2022-08-04,22.7
2022-08-05,20.3
2022-08-06,21.1
2022-08-07,21.6
2022-08-08,23.3
2022-08-09,23.2
2022-08-10,26.3
2022-08-11,29.1
2022-08-12,29.8
2022-08-13,31.6
2022-08-14,30.7
2022-08-15,25.7
2022-08-16,27.0
2022-08-17,21.7
2022-08-18,23.6
2022-08-19,22.2
2022-08-20,22.0
2022-08-21,22.7
2022-08-22,28.0
2022-08-23,26.3
2022-08-24,26.6
2022-08-25,24.0
2022-08-26,22.0
2022-08-27,22.2
2022-08-28,22.4
2022-08-29,22.1
2022-08-30,23.1
2022-08-31,22.9
2022-09-01,26.5
2022-09-02,25.6
2022-09-03,24.6
2022-09-04,23.4
2022-09-05,25.3
2022-09-06,25.0
2022-09-07,22.7
2022-09-08,21.7
2022-09-09,19.3
2022-09-10,19.7
2022-09-11,21.8
2022-09-12,25.8
2022-09-13,21.9
2022-09-14,16.8
2022-09-15,18.4
2022-09-16,16.3
2022-09-17,15.6
2022-09-18,16.7
2022-09-19,16.8
2022-09-20,17.1
2022-09-21,17.7
2022-09-22,19.5
2022-09-23,18.3
2022-09-24,17.1
2022-09-25,15.6
2022-09-26,14.7
2022-09-27,13.6
2022-09-28,13.6
2022-09-29,15.2
2022-09-30,17.0
2022-10-01,18.2
2022-10-02,16.6
2022-10-03,17.2
2022-10-04,18.1
2022-10-05,18.2
2022-10-06,17.5
2022-10-07,17.7
2022-10-08,15.1
2022-10-09,17.0
2022-10-10,14.5
2022-10-11,15.0
2022-10-12,15.7
2022-10-13,13.6
2022-10-14,16.5
2022-10-15,17.6
2022-10-16,17.5
2022-10-17,18.2
2022-10-18,18.5
2022-10-19,17.0
2022-10-20,19.6
2022-10-21,20.5
2022-10-22,18.5
2022-10-23,19.5
2022-10-24,17.2
2022-10-25,17.1
2022-10-26,20.0
2022-10-27,20.5
2022-10-28,20.6
2022-10-29,21.7
2022-10-30,17.0
2022-10-31,16.1
2022-11-01,16.2
2022-11-02,14.0
2022-11-03,14.2
2022-11-04,12.7
2022-11-05,11.2
2022-11-06,11.2
2022-11-07,15.1
2022-11-08,16.0
2022-11-09,14.1
2022-11-10,14.0
2022-11-11,12.1
2022-11-12,9.5
2022-11-13,14.0
2022-11-14,9.2
2022-11-15,12.0
2022-11-16,11.6
2022-11-17,12.7
2022-11-18,11.6
2022-11-19,11.0
2022-11-20,10.6
2022-11-21,9.1
2022-11-22,10.1
2022-11-23,12.0
2022-11-24,11.1
2022-11-25,11.5
2022-11-26,11.2
2022-11-27,8.0
2022-11-28,11.5
2022-11-29,7.0
2022-11-30,9.1
2022-12-01,7.7
2022-12-02,5.0
2022-12-03,3.0
2022-12-04,2.2
2022-12-05,5.5
2022-12-06,7.1
2022-12-07,7.2
2022-12-08,5.5
2022-12-09,5.2
2022-12-10,5.6
2022-12-11,1.2
2022-12-12,-0.2
2022-12-13,-0.7
2022-12-14,1.7
2022-12-15,5.2
2022-12-16,4.2
2022-12-17,1.0
2022-12-18,1.5
2022-12-19,9.0
2022-12-20,11.7
2022-12-21,9.1
2022-12-22,10.6
2022-12-23,13.1
2022-12-24,11.2
2022-12-25,10.0
2022-12-26,9.7
2022-12-27,9.1
2022-12-28,11.6
2022-12-29,11.5
2022-12-30,13.1
2022-12-31,15.7
2023-01-01,13.5
2023-01-02,11.6
2023-01-03,10.1
2023-01-04,13.1
2023-01-05,12.1
2023-01-06,11.6
2023-01-07,10.6
2023-01-08,9.7
2023-01-09,9.0
2023-01-10,12.3
2023-01-11,12.4
2023-01-12,11.2
2023-01-13,10.2
2023-01-14,12.2
2023-01-15,8.1
2023-01-16,6.2
2023-01-17,4.5
2023-01-18,5.0
2023-01-19,5.5
2023-01-20,6.5
2023-01-21,4.0
2023-01-22,4.5
2023-01-23,4.5
2023-01-24,3.0
2023-01-25,2.5
2023-01-26,8.2
2023-01-27,6.5
2023-01-28,5.2
2023-01-29,9.0
2023-01-30,8.6
2023-01-31,9.7
2023-02-01,9.2
2023-02-02,10.6
2023-02-03,11.7
2023-02-04,9.7
2023-02-05,8.5
2023-02-06,7.7
2023-02-07,5.7
2023-02-08,6.5
2023-02-09,7.1
2023-02-10,9.6
2023-02-11,9.0
2023-02-12,8.5
2023-02-13,11.0
2023-02-14,12.0
2023-02-15,12.0
2023-02-16,11.6
2023-02-17,11.6
2023-02-18,12.0
2023-02-19,11.0
2023-02-20,9.2
2023-02-21,8.5
2023-02-22,9.5
2023-02-23,8.7
2023-02-24,7.7
2023-02-25,7.2
2023-02-26,5.7
2023-02-27,6.2
2023-02-28,4.7
2023-03-01,6.1
2023-03-02,6.7
2023-03-03,7.4
2023-03-04,7.6
2023-03-05,6.0
2023-03-06,7.0
2023-03-07,6.2
2023-03-08,2.5
2023-03-09,13.0
2023-03-10,9.2
2023-03-11,7.0
2023-03-12,12.2
2023-03-13,15.0
2023-03-14,9.7
2023-03-15,8.5
2023-03-16,13.7
2023-03-17,14.7
2023-03-18,14.2
2023-03-19,9.0
2023-03-20,11.7
2023-03-21,13.0
2023-03-22,12.2
2023-03-23,15.5
2023-03-24,13.7
2023-03-25,12.5
2023-03-26,9.7
2023-03-27,6.9
2023-03-28,9.5
2023-03-29,16.2
2023-03-30,14.1
2023-03-31,11.6
2023-04-01,9.7
2023-04-02,8.0
2023-04-03,10.6
2023-04-04,9.7
2023-04-05,11.6
2023-04-06,12.7
2023-04-07,10.2
2023-04-08,11.0
2023-04-09,16.0
2023-04-10,13.0
2023-04-11,13.0
2023-04-12,10.7
2023-04-13,12.2
2023-04-14,12.5
2023-04-15,12.6
2023-04-16,11.0
2023-04-17,11.0
2023-04-18,13.2
2023-04-19,15.0
2023-04-20,9.6
2023-04-21,11.2
2023-04-22,13.0
2023-04-23,13.1
2023-04-24,10.6
2023-04-25,9.2
2023-04-26,10.6
2023-04-27,14.2
2023-04-28,14.5
2023-04-29,12.2
2023-04-30,16.2
2023-05-01,14.2
2023-05-02,13.2
2023-05-03,14.5
2023-05-04,22.5
2023-05-05,17.2
2023-05-06,18.2
2023-05-07,17.7
2023-05-08,16.5
2023-05-09,15.5
2023-05-10,16.5
2023-05-11,14.5
2023-05-12,13.7
2023-05-13,14.2
2023-05-14,13.4
2023-05-15,12.1
2023-05-16,14.0
2023-05-17,15.0
2023-05-18,13.2
2023-05-19,16.1
2023-05-20,16.6
2023-05-21,16.0
2023-05-22,14.0
2023-05-23,14.0
2023-05-24,15.7
2023-05-25,16.0
2023-05-26,15.7
2023-05-27,16.0
2023-05-28,17.7
2023-05-29,14.7
2023-05-30,14.7
2023-05-31,17.0
2023-06-01,14.8
2023-06-02,14.5
2023-06-03,19.0
2023-06-04,17.7
2023-06-05,15.7
2023-06-06,16.0
2023-06-07,17.2
2023-06-08,18.2
2023-06-09,24.0
2023-06-10,31.0
2023-06-11,31.0
2023-06-12,24.0
2023-06-13,28.0
2023-06-14,25.0
2023-06-15,25.0
2023-06-16,22.0
2023-06-17,28.0
2023-06-18,26.0
2023-06-19,23.0
2023-06-20,27.0
2023-06-21,23.0
2023-06-22,20.0
2023-06-23,26.0
2023-06-24,23.0
2023-06-25,32.0
2023-06-26,21.0
2023-06-27,20.0
2023-06-28,24.0
2023-06-29,20.0
2023-06-30,21.0
